Strategy,Date,Price,Amount Invested,Units,Current Value,Running Total Investment,Running Corpus Value,Index,Year
DEC_FILL,2000-12-03,1313.7,10000,7.61208799573723,12280.581563522874,100000,119140.98252081,Nifty,2000
DEC_FILL,2000-12-03,1313.7,10000,7.61208799573723,12280.581563522874,110000,131421.56408433287,Nifty,2000
DEC_FILL,2000-12-03,1313.7,10000,7.61208799573723,12280.581563522874,120000,143702.14564785574,Nifty,2000
DIP,2000-02-27,1656.0,10000,6.038647342995169,9742.149758454107,90000,106860.40095728713,Nifty,2000
DIP,2000-03-05,1602.75,10000,6.239276243955701,10065.824364373733,80000,97118.25119883302,Nifty,2000
DIP,2000-04-16,1415.65,10000,7.063892911383463,11396.17843393494,70000,87052.4268344593,Nifty,2000
DIP,2000-05-07,1282.8,10000,7.795447458684129,12576.395385095106,60000,75656.24840052436,Nifty,2000
DIP,2000-07-16,1397.25,10000,7.156915369475756,11546.251565575238,50000,63079.85301542925,Nifty,2000
DIP,2000-07-23,1333.8,10000,7.49737591842855,12095.51656920078,40000,51533.60144985402,Nifty,2000
DIP,2000-09-17,1266.45,10000,7.896087488649374,12738.757945438034,30000,39438.08488065324,Nifty,2000
DIP,2000-10-08,1176.75,10000,8.497981729339282,13709.793923943063,20000,26699.326935215202,Nifty,2000
DIP,2000-12-17,1242.0,10000,8.051529790660226,12989.533011272142,10000,12989.533011272142,Nifty,2000
SIP,2000-01-30,1599.75,10000,6.250976715111737,10084.700734489765,10000,10084.700734489765,Nifty,2000
SIP,2000-02-27,1656.0,10000,6.038647342995169,9742.149758454107,20000,19826.85049294387,Nifty,2000
SIP,2000-03-26,1528.45,10000,6.542575812097223,10555.13755765645,30000,30381.98805060032,Nifty,2000
SIP,2000-04-30,1422.4,10000,7.030371203599549,11342.097862767152,40000,41724.085913367475,Nifty,2000
SIP,2000-05-28,1389.25,10000,7.198128486593486,11612.74068742127,50000,53336.82660078875,Nifty,2000
SIP,2000-06-25,1471.45,10000,6.796017533725236,10964.015087158923,60000,64300.84168794767,Nifty,2000
SIP,2000-07-30,1318.55,10000,7.5840885821546395,12235.41010959008,70000,76536.25179753776,Nifty,2000
SIP,2000-08-27,1394.1,10000,7.173086579155011,11572.340578150779,80000,88108.59237568853,Nifty,2000
SIP,2000-09-24,1271.65,10000,7.863799001297526,12686.666928793298,90000,100795.25930448183,Nifty,2000
SIP,2000-10-29,1242.05,10000,8.051205668048791,12989.010104263114,100000,113784.26940874496,Nifty,2000
SIP,2000-11-26,1276.2,10000,7.835762419683435,12641.435511675285,110000,126425.70492042023,Nifty,2000
SIP,2000-12-31,1327.25,10000,7.534375588623093,12155.208137125635,120000,138580.91305754587,Nifty,2000
DEC_FILL,2001-12-02,1112.3,10000,8.990380293086398,14504.180526836286,120000,177783.3026176748,Nifty,2001
DIP,2001-01-07,1286.75,10000,7.771517388770158,12537.789003302894,110000,163279.12209083853,Nifty,2001
DIP,2001-02-18,1320.45,10000,7.5731758112764584,12217.80453633231,100000,150741.3330875356,Nifty,2001
DIP,2001-03-04,1254.75,10000,7.969715082685794,12857.541342896991,90000,138523.52855120332,Nifty,2001
DIP,2001-03-11,1193.55,10000,8.378367056260736,13516.819571865444,80000,125665.98720830631,Nifty,2001
DIP,2001-04-08,1024.9,10000,9.757049468240803,15741.047907112887,70000,112149.16763644086,Nifty,2001
DIP,2001-04-22,1101.3,10000,9.080177971488242,14649.05112140198,60000,96408.11972932797,Nifty,2001
DIP,2001-06-10,1087.75,10000,9.193288899103655,14831.532980923925,50000,81759.068607926,Nifty,2001
DIP,2001-07-01,1065.1,10000,9.388789784996714,15146.934560135198,40000,66927.53562700207,Nifty,2001
DIP,2001-09-09,919.7,10000,10.87311079699902,17541.58964879852,30000,51780.60106686687,Nifty,2001
DIP,2001-09-16,854.2,10000,11.706860220088972,18886.677593069537,20000,34239.01141806835,Nifty,2001
