"Date","Price","Open","High","Low","Vol.","Change %"
"08-06-2025","45,681.28","46,328.17","46,798.84","44,976.28","50.75B","-0.90%"
"01-06-2025","46,096.51","45,152.31","46,108.87","44,954.57","91.31B","2.13%"
"25-05-2025","45,136.35","44,964.17","45,522.42","44,937.49","59.05B","0.61%"
"18-05-2025","44,861.42","45,241.67","45,376.14","44,271.61","60.89B","-0.32%"
"11-05-2025","45,005.84","43,196.94","45,046.01","43,099.50","92.58B","6.87%"
"04-05-2025","42,111.50","42,868.22","43,447.78","41,047.86","54.69B","-1.40%"
"27-04-2025","42,707.87","42,399.35","43,515.52","42,380.22","43.24B","0.42%"
"20-04-2025","42,528.71","42,212.54","43,788.78","42,092.73","64.34B","1.31%"
"13-04-2025","41,980.48","40,935.85","42,036.69","40,742.39","30.01B","4.24%"
"06-04-2025","40,274.24","37,298.24","40,406.03","37,203.21","36.46B","-0.58%"
"30-03-2025","40,508.53","41,472.80","41,839.48","40,280.95","34.13B","-2.46%"
"23-03-2025","41,531.12","42,127.81","42,744.71","41,312.84","48.41B","-0.72%"
"16-03-2025","41,831.57","39,170.46","41,871.42","39,099.92","39.41B","7.09%"
"09-03-2025","39,062.82","40,064.40","40,160.50","38,831.66","26.56B","-2.07%"
"02-03-2025","39,888.29","38,565.99","40,251.49","37,832.80","37.81B","3.36%"
"23-02-2025","38,592.02","40,104.70","40,276.58","38,233.57","22.72B","-4.41%"
"16-02-2025","40,374.02","39,409.66","41,156.88","38,881.75","38.03B","1.62%"
"09-02-2025","39,731.79","43,048.32","43,081.78","39,354.88","39.26B","-7.71%"
"02-02-2025","43,050.27","43,380.12","43,608.57","42,118.81","53.62B","-0.11%"
"26-01-2025","43,096.45","42,366.75","43,151.13","40,780.52","43.55B","0.89%"
"19-01-2025","42,715.63","43,996.77","44,186.82","42,087.27","42.83B","-2.39%"
"12-01-2025","43,761.23","43,750.57","44,027.02","42,279.81","45.85B","-1.08%"
"05-01-2025","44,240.89","47,055.60","47,121.95","44,214.13","37.01B","-5.74%"
"29-12-2024","46,936.08","46,346.38","47,308.96","45,846.52","34.01B","1.54%"
"22-12-2024","46,226.50","47,892.30","48,264.25","46,175.62","22.92B","-3.24%"
"15-12-2024","47,776.62","47,738.75","48,197.08","47,036.52","4.00M","0.22%"
"08-12-2024","47,669.72","46,096.44","47,704.00","45,962.23","3.96M","3.47%"
"01-12-2024","46,070.85","45,717.36","46,281.43","45,614.88","42.00B","2.31%"
"24-11-2024","45,029.22","44,439.28","45,055.52","43,921.08","39.37B","1.67%"
"17-11-2024","44,289.60","46,051.45","46,109.49","43,982.51","35.55B","-3.89%"
"10-11-2024","46,080.07","46,351.08","47,230.06","45,242.63","35.94B","-0.44%"
"03-11-2024","46,284.43","45,328.24","46,498.22","45,241.94","43.19B","1.83%"
"27-10-2024","45,452.83","48,043.92","48,173.01","44,914.69","71.54B","-5.20%"
"20-10-2024","47,946.33","48,515.94","48,803.49","47,192.12","57.35B","-1.01%"
"13-10-2024","48,436.86","48,076.42","48,706.22","46,653.60","43.54B","1.11%"
"06-10-2024","47,906.74","49,380.87","49,532.84","47,477.35","52.02B","-3.20%"
"29-09-2024","49,490.32","49,338.35","49,701.15","48,999.28","40.36B","0.67%"
"22-09-2024","49,163.22","49,496.34","49,506.01","47,895.81","48.38B","-0.16%"
