"Date","Price","Open","High","Low","Vol.","Change %"
"08-06-2025","21,433.05","21,827.80","22,003.80","21,091.05","","-1.18%"
"01-06-2025","21,688.60","21,115.95","21,712.90","21,053.10","","2.67%"
"25-05-2025","21,125.55","20,952.65","21,268.60","20,917.35","","1.20%"
"18-05-2025","20,874.40","21,030.85","21,121.15","20,612.85","","-0.41%"
"11-05-2025","20,960.15","20,133.35","20,983.35","20,077.10","","6.96%"
"04-05-2025","19,596.25","19,825.80","20,132.40","19,165.10","","-0.72%"
"27-04-2025","19,738.10","19,661.80","20,163.00","19,660.90","","0.22%"
"20-04-2025","19,694.85","19,533.10","20,282.00","19,485.40","","1.35%"
"13-04-2025","19,433.45","18,936.10","19,459.00","18,838.50","","4.40%"
"06-04-2025","18,614.15","17,269.55","18,661.10","17,269.50","","-0.33%"
"30-03-2025","18,675.30","19,081.45","19,271.65","18,567.10","","-2.33%"
"23-03-2025","19,120.35","19,343.50","19,568.40","18,966.70","","-0.43%"
"16-03-2025","19,203.30","17,931.70","19,227.05","17,897.90","","7.27%"
"09-03-2025","17,902.00","18,308.85","18,416.50","17,800.95","","-2.12%"
"02-03-2025","18,290.60","17,768.55","18,477.45","17,379.60","","3.04%"
"23-02-2025","17,750.55","18,507.55","18,595.10","17,591.90","","-4.98%"
"16-02-2025","18,681.35","18,215.15","19,039.85","17,934.00","","1.82%"
"09-02-2025","18,346.80","19,817.25","19,843.20","18,164.95","","-7.43%"
"02-02-2025","19,819.60","19,931.85","20,098.90","19,431.30","","-0.16%"
"26-01-2025","19,850.95","19,528.65","19,878.20","18,778.00","0.00K","0.72%"
"19-01-2025","19,708.95","20,310.80","20,406.85","19,431.25","0.01K","-2.41%"
"12-01-2025","20,195.90","20,015.55","20,277.50","19,393.85","0.01K","-0.28%"
"05-01-2025","20,252.95","21,477.45","21,481.10","20,234.10","0.01K","-5.45%"
"29-12-2024","21,419.30","21,067.25","21,579.35","20,864.95","0.01K","1.65%"
"22-12-2024","21,071.85","21,144.65","21,197.00","20,933.00","0.00K","0.10%"
"15-12-2024","21,050.60","21,805.45","21,960.25","21,017.70","0.01K","-3.21%"
"08-12-2024","21,748.10","21,661.00","21,917.55","21,411.70","0.01K","0.38%"
"01-12-2024","21,665.40","20,911.05","21,686.95","20,849.65","0.01K","3.63%"
"24-11-2024","20,906.65","20,742.90","21,001.30","20,650.15","0.01K","2.42%"
"17-11-2024","20,412.65","20,181.80","20,429.20","19,936.85","0.00K","1.53%"
"10-11-2024","20,105.25","20,871.00","20,935.45","19,955.75","","-3.89%"
"03-11-2024","20,919.90","21,042.40","21,434.75","20,563.70","","-0.48%"
"27-10-2024","21,021.10","20,575.75","21,077.60","20,472.20","","2.22%"
"20-10-2024","20,563.70","21,807.50","21,869.50","20,365.80","","-5.48%"
"13-10-2024","21,755.65","22,029.95","22,151.05","21,384.00","","-1.02%"
"06-10-2024","21,979.15","21,795.95","22,087.40","21,106.05","","1.24%"
"29-09-2024","21,710.60","22,302.65","22,400.30","21,496.20","","-2.91%"
"22-09-2024","22,360.85","22,369.15","22,515.40","22,192.75","","0.47%"
"15-09-2024","22,256.10","22,306.05","22,326.35","21,621.60","","0.30%"
"08-09-2024","22,190.35","21,665.50","22,243.55","21,415.95","","2.37%"
"01-09-2024","21,675.80","22,014.15","22,030.85","21,639.40","","-1.14%"
"25-08-2024","21,925.45","21,746.75","21,956.35","21,618.05","","1.29%"
"18-08-2024","21,645.65","21,413.35","21,809.10","21,302.50","","1.63%"
"11-08-2024","21,298.35","21,089.75","21,318.35","20,842.20","","0.69%"
"04-08-2024","21,151.35","20,917.25","21,233.65","20,555.95","","-1.59%"
"28-07-2024","21,492.25","21,606.50","21,969.40","21,387.25","","0.23%"
"21-07-2024","21,442.40","20,740.80","21,463.05","20,264.90","","3.03%"
"14-07-2024","20,812.25","21,395.15","21,554.45","20,770.05","","-2.29%"
"07-07-2024","21,300.25","21,428.25","21,453.80","20,855.40","","-0.24%"
"30-06-2024","21,352.50","20,898.35","21,369.05","20,792.65","","2.50%"
"23-06-2024","20,831.95","20,700.20","20,922.90","20,550.00","","0.47%"
"16-06-2024","20,735.25","20,784.40","20,890.70","20,504.05","","0.18%"
"09-06-2024","20,698.25","19,992.00","20,710.20","19,871.70","","4.09%"
"02-06-2024","19,884.25","20,033.15","20,033.15","17,744.85","","2.98%"
"26-05-2024","19,308.75","19,642.00","19,717.40","19,123.10","","-1.25%"
"19-05-2024","19,553.15","19,340.50","19,667.65","19,224.70","","1.58%"
"12-05-2024","19,249.20","18,435.80","19,257.70","18,100.95","","4.48%"
"05-05-2024","18,423.30","19,023.65","19,025.25","18,081.10","","-2.56%"
"28-04-2024","18,907.70","18,836.25","19,064.05","18,754.35","","0.67%"
"21-04-2024","18,782.50","18,265.75","18,812.40","18,205.05","","3.71%"
"14-04-2024","18,111.25","18,206.05","18,445.05","17,833.55","","-2.28%"
"07-04-2024","18,534.70","18,593.85","18,722.05","18,411.40","","0.33%"
"31-03-2024","18,473.25","17,902.85","18,523.65","17,882.90","","3.98%"
"24-03-2024","17,766.00","17,459.70","17,814.25","17,457.55","","1.50%"
"17-03-2024","17,502.80","17,250.20","17,518.05","16,832.70","","1.44%"
"10-03-2024","17,254.20","18,079.10","18,081.05","16,717.95","","-4.12%"
"03-03-2024","17,995.70","18,049.65","18,156.00","17,700.20","","0.12%"
"25-02-2024","17,974.65","18,168.45","18,196.20","17,559.90","","-0.96%"
"18-02-2024","18,149.05","18,193.75","18,234.10","17,782.10","","0.37%"
"11-02-2024","18,081.70","18,090.40","18,111.00","17,293.60","","0.44%"
"04-02-2024","18,003.10","17,940.15","18,345.10","17,715.35","","0.73%"
"28-01-2024","17,873.35","17,490.35","17,976.70","17,459.20","","2.64%"
"21-01-2024","17,413.75","17,799.10","17,868.00","17,033.40","","-1.45%"
"14-01-2024","17,670.85","17,659.55","17,738.25","16,978.05","","0.61%"
"07-01-2024","17,563.85","17,550.85","17,589.55","17,251.65","","0.37%"
"31-12-2023","17,499.65","17,135.00","17,575.65","16,961.25","","2.47%"
"24-12-2023","17,077.05","16,761.80","17,102.40","16,712.05","","2.30%"
"17-12-2023","16,693.00","16,874.50","16,982.85","16,066.85","","-0.93%"
"10-12-2023","16,850.05","16,502.20","16,916.50","16,410.20","","2.44%"
"03-12-2023","16,447.95","16,362.00","16,560.65","16,214.40","","2.13%"
"26-11-2023","16,104.80","15,733.90","16,127.95","15,680.75","","2.75%"
"19-11-2023","15,673.50","15,628.40","15,708.30","15,511.00","","0.56%"
"12-11-2023","15,586.10","15,322.40","15,601.75","15,223.15","","2.55%"
"05-11-2023","15,199.15","14,917.00","15,212.90","14,887.90","","2.56%"
"29-10-2023","14,819.10","14,547.65","14,841.25","14,403.00","","2.10%"
"22-10-2023","14,513.70","14,972.95","14,999.80","14,133.30","","-3.00%"
"15-10-2023","14,963.10","15,166.20","15,274.10","14,923.95","","-1.18%"
"08-10-2023","15,141.35","14,926.30","15,205.25","14,832.75","","0.52%"
"01-10-2023","15,063.50","15,156.80","15,194.90","14,888.25","","-0.51%"
"24-09-2023","15,141.05","15,002.65","15,205.35","14,891.10","","1.11%"
"17-09-2023","14,975.50","15,251.10","15,252.40","14,892.85","","-1.62%"
