"Date","Price","Open","High","Low","Vol.","Change %"
"08-06-2025","66,979.05","68,351.10","69,125.35","66,067.90","1.34B","-1.49%"
"01-06-2025","67,992.85","66,782.65","68,030.10","66,305.90","1.45B","1.84%"
"25-05-2025","66,761.30","67,376.85","67,692.85","66,596.15","1.25B","-0.50%"
"18-05-2025","67,095.90","67,281.55","67,747.35","65,973.45","1.17B","0.03%"
"11-05-2025","67,078.95","64,366.15","67,159.75","64,169.00","1.60B","7.28%"
"04-05-2025","62,527.00","64,749.20","65,605.55","61,401.70","1.58B","-2.95%"
"27-04-2025","64,429.75","64,139.95","65,587.30","64,124.25","998.94M","0.18%"
"20-04-2025","64,314.90","64,750.35","66,313.00","63,762.50","1.42B","0.09%"
"13-04-2025","64,255.55","62,862.15","64,419.30","62,301.90","798.51M","4.53%"
"06-04-2025","61,473.55","57,256.55","61,839.15","57,250.25","1.02B","0.01%"
"30-03-2025","61,468.70","62,981.10","63,339.15","61,162.00","1.04B","-2.50%"
"23-03-2025","63,043.20","63,373.05","64,141.30","62,165.50","2.70B","0.30%"
"16-03-2025","62,855.85","59,056.60","63,063.10","59,006.15","1.70B","6.58%"
"09-03-2025","58,976.10","59,900.75","60,318.15","58,162.40","1.27B","-1.46%"
"02-03-2025","59,852.55","57,261.70","60,391.90","56,192.45","1.76B","4.89%"
"23-02-2025","57,063.05","59,850.30","60,062.90","56,868.45","1.51B","-5.63%"
"16-02-2025","60,466.80","59,221.95","61,417.55","58,230.90","1.56B","1.53%"
"09-02-2025","59,557.95","63,572.80","64,029.10","59,066.85","1.65B","-6.28%"
"02-02-2025","63,552.20","63,448.20","64,458.05","62,106.75","2.16B","0.67%"
"26-01-2025","63,127.35","62,041.80","63,311.30","60,131.40","2.02B","1.01%"
"19-01-2025","62,494.00","65,322.65","65,574.55","61,895.80","1.82B","-3.93%"
"12-01-2025","65,053.60","63,399.20","65,250.80","61,388.90","1.92B","1.24%"
"05-01-2025","64,257.10","69,280.60","69,280.60","64,126.25","1.62B","-7.13%"
"29-12-2024","69,192.45","68,624.20","69,785.90","67,380.20","1.88B","0.93%"
"22-12-2024","68,557.15","69,096.40","69,456.35","68,458.45","858.53M","-0.21%"
"15-12-2024","68,702.65","73,060.90","73,298.70","68,519.75","1.61B","-5.84%"
"08-12-2024","72,965.95","72,894.50","73,443.90","71,711.50","1.63B","-0.10%"
"01-12-2024","73,040.40","70,690.20","73,218.60","70,572.70","1.90B","3.27%"
"24-11-2024","70,726.85","69,337.75","70,977.20","69,249.35","2.22B","3.98%"
"17-11-2024","68,016.85","67,913.65","68,536.30","65,996.00","1.53B","0.90%"
"10-11-2024","67,408.65","69,713.60","70,603.00","66,896.45","1.32B","-3.39%"
"03-11-2024","69,774.20","70,462.35","71,722.15","68,495.70","1.86B","-0.89%"
"27-10-2024","70,400.75","69,789.05","70,890.45","69,018.50","1.80B","0.98%"
"20-10-2024","69,716.50","74,495.20","74,782.35","68,826.55","2.00B","-6.15%"
"13-10-2024","74,288.10","75,659.35","76,093.30","73,085.00","1.33B","-1.45%"
"06-10-2024","75,378.45","74,989.25","76,085.90","72,459.85","1.76B","1.02%"
"29-09-2024","74,620.25","77,668.70","77,866.35","74,184.75","1.67B","-4.10%"
"22-09-2024","77,813.25","75,893.55","77,918.00","75,775.25","2.27B","3.09%"
"15-09-2024","75,481.85","75,707.40","75,742.70","73,338.55","1.74B","0.07%"
"08-09-2024","75,427.55","74,350.40","75,754.70","73,570.80","1.78B","1.30%"
"01-09-2024","74,462.00","75,674.85","75,807.70","74,315.90","1.79B","-1.09%"
"25-08-2024","75,279.80","74,752.50","75,450.55","74,290.85","1.42B","1.18%"
"18-08-2024","74,403.60","73,446.45","74,958.60","73,249.85","1.58B","2.00%"
"11-08-2024","72,943.20","72,401.50","73,001.85","71,100.10","1.27B","0.31%"
"04-08-2024","72,718.85","71,459.55","72,900.00","70,081.00","2.44B","-0.83%"
"28-07-2024","73,328.15","73,836.20","75,057.30","73,173.45","2.76B","-0.10%"
"21-07-2024","73,400.65","71,092.10","73,457.85","68,938.50","2.26B","2.87%"
"14-07-2024","71,353.00","74,053.00","74,715.60","71,246.90","1.94B","-3.23%"
"07-07-2024","73,732.10","73,693.75","74,453.30","72,254.00","2.74B","0.42%"
"30-06-2024","73,426.55","71,727.50","73,483.80","71,335.20","2.11B","2.66%"
"23-06-2024","71,523.45","70,944.85","72,049.35","70,383.10","2.24B","0.58%"
"16-06-2024","71,111.80","72,333.85","72,614.60","70,970.80","1.82B","-1.09%"
"09-06-2024","71,892.15","69,722.25","71,970.25","69,233.40","2.31B","3.86%"
"02-06-2024","69,222.25","70,871.90","70,871.90","60,663.40","5.19B","2.51%"
"26-05-2024","67,527.65","69,427.45","69,599.65","66,816.30","2.88B","-2.18%"
"19-05-2024","69,033.25","67,450.60","69,458.95","67,371.05","2.36B","2.87%"
"12-05-2024","67,105.05","64,190.10","67,181.25","62,941.20","2.34B","4.96%"
"05-05-2024","63,934.20","65,829.50","65,865.40","63,019.00","2.38B","-2.79%"
"28-04-2024","65,770.50","64,508.35","66,456.25","64,094.15","1.88B","2.55%"
"21-04-2024","64,134.55","62,514.15","64,375.25","62,204.95","1.71B","3.63%"
"14-04-2024","61,887.90","62,076.25","63,033.60","60,647.25","1.72B","-1.87%"
"07-04-2024","63,067.85","63,097.50","63,735.35","62,500.15","1.56B","0.59%"
"31-03-2024","62,696.10","61,107.05","62,951.00","61,068.35","2.04B","3.42%"
"24-03-2024","60,624.30","59,000.05","60,842.35","58,991.80","803.20M","2.43%"
"17-03-2024","59,188.90","58,072.85","59,326.25","56,678.90","1.25B","1.95%"
"10-03-2024","58,058.80","60,467.45","60,920.25","56,430.85","1.88B","-3.75%"
"03-03-2024","60,323.90","59,720.95","60,573.10","58,900.15","1.87B","1.37%"
"25-02-2024","59,506.75","59,146.85","59,633.60","57,803.70","1.90B","0.60%"
"18-02-2024","59,153.75","58,838.30","59,331.45","58,006.90","1.50B","0.97%"
"11-02-2024","58,586.15","57,559.70","58,694.90","55,701.90","2.10B","2.01%"
"04-02-2024","57,432.90","56,330.55","57,927.70","55,463.50","2.52B","2.67%"
"28-01-2024","55,940.30","54,564.20","56,218.25","54,369.40","2.34B","3.04%"
"21-01-2024","54,291.75","54,970.90","55,227.70","52,872.95","1.44B","-0.76%"
"14-01-2024","54,709.00","55,013.20","55,056.75","52,766.30","1.77B","-0.06%"
"07-01-2024","54,742.90","54,450.00","54,852.90","53,490.05","1.41B","0.82%"
"31-12-2023","54,295.25","53,551.60","54,687.60","52,605.20","1.62B","1.78%"
"24-12-2023","53,344.80","52,201.05","53,388.90","52,113.20","1.43B","2.70%"
"17-12-2023","51,944.00","52,090.00","52,823.40","50,102.95","1.70B","-0.03%"
"10-12-2023","51,957.35","50,770.10","52,210.55","50,583.90","1.62B","2.66%"
"03-12-2023","50,608.75","49,347.55","51,289.55","49,071.40","2.38B","4.38%"
"26-11-2023","48,486.40","46,793.30","48,565.55","46,718.60","1.76B","4.03%"
"19-11-2023","46,607.75","46,943.55","46,948.55","46,367.85","901.56M","-0.49%"
"12-11-2023","46,838.25","46,070.30","46,870.75","45,739.65","1.01B","2.44%"
"05-11-2023","45,724.20","45,061.80","46,011.25","44,985.35","1.45B","1.87%"
"29-10-2023","44,885.00","43,923.85","44,907.90","43,462.85","1.36B","2.39%"
"22-10-2023","43,837.50","44,552.80","44,604.15","42,539.15","1.12B","-1.59%"
"15-10-2023","44,547.65","45,271.60","45,652.65","44,464.85","1.10B","-1.64%"
"08-10-2023","45,290.30","44,550.90","45,435.10","44,251.25","1.28B","0.76%"
"01-10-2023","44,950.40","45,133.15","45,213.50","44,337.75","1.28B","-0.19%"
"24-09-2023","45,036.65","45,248.55","45,311.85","44,469.90","977.97M","-0.31%"
"17-09-2023","45,176.00","46,296.05","46,296.40","45,008.05","994.61M","-1.90%"
"10-09-2023","46,051.85","46,359.60","46,799.00","45,068.15","1.46B","-0.13%"
"03-09-2023","46,110.80","45,026.45","46,207.10","44,799.75","1.23B","2.93%"
"27-08-2023","44,799.75","44,276.85","44,905.85","44,121.85","1.39B","1.62%"
"20-08-2023","44,087.55","43,756.35","44,730.45","43,691.05","1.04B","0.93%"
"13-08-2023","43,681.00","44,460.55","44,460.55","43,600.10","750.92M","-1.99%"
"06-08-2023","44,566.70","44,908.00","45,009.50","44,508.00","1.48B","-0.44%"
"30-07-2023","44,765.00","45,156.00","45,408.55","44,150.05","1.85B","-0.89%"
"23-07-2023","45,166.40","44,256.65","45,187.95","44,113.15","1.26B","2.22%"
"16-07-2023","44,184.75","44,334.95","44,507.10","44,053.15","964.15M","-0.13%"
"09-07-2023","44,243.05","44,120.00","44,473.20","43,659.70","1.20B","0.55%"
"02-07-2023","44,002.50","43,921.75","44,510.10","43,647.90","1.06B","0.58%"
"25-06-2023","43,750.30","42,669.30","43,782.90","42,589.85","921.11M","2.14%"
"18-06-2023","42,833.15","43,978.25","44,175.55","42,781.55","1.02B","-2.29%"
"11-06-2023","43,836.75","42,793.25","43,932.35","42,646.50","1.15B","2.73%"
"04-06-2023","42,672.65","42,419.00","43,119.50","42,352.60","1.09B","0.81%"
"28-05-2023","42,331.40","41,980.50","42,372.90","41,804.85","1.54B","1.55%"
"21-05-2023","41,684.70","40,601.90","41,710.85","40,465.85","1.32B","2.81%"
"14-05-2023","40,546.15","40,825.25","41,256.80","40,090.25","1.13B","-0.62%"
"07-05-2023","40,801.10","40,174.05","40,976.15","40,153.15","1.13B","1.77%"
"30-04-2023","40,091.25","39,647.55","40,303.20","39,606.90","1.02B","1.46%"
"23-04-2023","39,514.20","38,521.75","39,558.80","38,380.75","1.31B","2.83%"
"16-04-2023","38,426.05","38,498.35","38,885.65","38,300.95","859.08M","-0.18%"
"09-04-2023","38,496.75","38,293.70","38,623.30","38,159.10","683.85M","0.81%"
"02-04-2023","38,187.05","37,987.45","38,231.55","37,687.20","586.57M","1.03%"
"26-03-2023","37,797.75","37,570.90","37,848.35","36,895.65","1.16B","0.72%"
"19-03-2023","37,528.55","37,572.15","38,061.35","37,254.15","938.60M","-0.68%"
"12-03-2023","37,787.35","38,101.05","38,268.25","36,926.85","1.71B","-0.78%"
"05-03-2023","38,083.20","38,234.95","38,643.80","37,693.80","764.09M","0.20%"
"26-02-2023","38,008.05","37,372.50","38,097.65","36,850.75","1.30B","1.34%"
"19-02-2023","37,504.20","38,447.60","38,514.55","37,290.30","1.29B","-2.43%"
"12-02-2023","38,439.40","38,674.75","38,749.15","37,952.40","1.05B","-0.76%"
"05-02-2023","38,735.40","38,463.60","38,988.90","38,294.70","1.85B","0.71%"
"29-01-2023","38,464.15","38,952.20","39,571.75","37,846.10","1.93B","-2.00%"
"22-01-2023","39,250.45","41,960.90","42,071.15","38,754.45","1.37B","-6.24%"
