"Date","Price","Open","High","Low","Vol.","Change %"
"08-06-2025","25,331.35","25,795.35","25,892.55","25,070.60","2.87B","-1.20%"
"01-06-2025","25,638.80","25,277.05","25,654.75","25,128.45","3.12B","1.16%"
"25-05-2025","25,344.25","25,527.45","25,677.55","25,296.85","3.96B","-0.43%"
"18-05-2025","25,453.00","25,594.10","25,663.35","25,073.65","2.85B","-0.55%"
"11-05-2025","25,593.10","24,907.20","25,619.45","24,880.95","3.67B","4.73%"
"04-05-2025","24,437.55","24,931.80","25,056.40","24,303.55","3.26B","-1.66%"
"27-04-2025","24,849.20","24,596.00","25,098.40","24,590.10","2.52B","1.09%"
"20-04-2025","24,581.30","24,533.40","24,986.85","24,383.15","3.43B","0.67%"
"13-04-2025","24,418.35","23,917.60","24,444.20","23,745.55","2.04B","4.49%"
"06-04-2025","23,369.25","22,186.25","23,468.95","22,177.35","2.93B","-0.27%"
"30-03-2025","23,433.25","23,902.30","24,110.60","23,375.25","2.44B","-2.59%"
"23-03-2025","24,057.35","24,075.90","24,409.75","23,919.40","4.43B","0.65%"
"16-03-2025","23,902.10","22,806.15","23,958.55","22,806.15","3.40B","4.66%"
"09-03-2025","22,837.85","23,005.10","23,155.25","22,714.80","2.57B","-0.82%"
"02-03-2025","23,027.70","22,551.65","23,127.30","22,324.05","3.27B","2.44%"
"23-02-2025","22,479.45","23,075.45","23,127.35","22,452.15","2.82B","-3.41%"
"16-02-2025","23,274.05","23,202.00","23,471.50","23,067.70","2.67B","-0.22%"
"09-02-2025","23,325.15","24,113.25","24,140.15","23,165.90","2.96B","-3.32%"
"02-02-2025","24,125.50","24,092.10","24,382.50","23,755.20","4.09B","0.30%"
"26-01-2025","24,053.45","23,501.70","24,096.65","23,277.85","3.54B","1.66%"
"19-01-2025","23,660.20","24,017.60","24,118.55","23,526.90","3.25B","-1.11%"
"12-01-2025","23,926.00","23,808.10","24,049.10","23,548.75","3.35B","-0.58%"
"05-01-2025","24,064.75","24,920.40","24,929.15","23,982.90","2.96B","-3.28%"
"29-12-2024","24,879.85","24,623.10","25,060.90","24,300.75","3.19B","1.01%"
"22-12-2024","24,632.00","24,597.30","24,784.05","24,502.80","1.58B","0.75%"
"15-12-2024","24,448.85","25,719.85","25,748.35","24,400.25","3.01B","-4.96%"
"08-12-2024","25,724.60","25,622.75","25,745.75","25,148.90","2.91B","0.24%"
"01-12-2024","25,663.90","25,063.55","25,784.40","24,953.25","3.40B","2.43%"
"24-11-2024","25,053.95","25,041.45","25,230.10","24,791.60","4.08B","1.62%"
"17-11-2024","24,655.35","24,467.55","24,704.55","24,014.25","2.88B","1.19%"
"10-11-2024","24,366.05","24,942.80","25,210.25","24,293.90","2.41B","-2.55%"
"03-11-2024","25,002.95","25,192.95","25,443.30","24,668.75","3.41B","-0.72%"
"27-10-2024","25,184.60","25,086.95","25,364.55","24,932.75","3.03B","0.65%"
"20-10-2024","25,022.20","25,956.85","25,991.45","24,897.20","3.39B","-3.22%"
"13-10-2024","25,853.80","26,117.55","26,291.55","25,547.55","2.56B","-0.77%"
"06-10-2024","26,054.10","26,141.65","26,331.20","25,644.40","3.23B","-0.01%"
"29-09-2024","26,056.00","27,147.35","27,203.00","26,007.55","3.05B","-4.40%"
"22-09-2024","27,253.85","26,920.05","27,335.65","26,898.20","4.00B","1.61%"
"15-09-2024","26,821.00","26,486.80","26,879.00","26,318.10","3.18B","1.52%"
"08-09-2024","26,419.90","25,898.90","26,511.00","25,786.30","3.20B","1.90%"
"01-09-2024","25,928.55","26,383.45","26,394.15","25,877.45","3.01B","-1.32%"
"25-08-2024","26,274.35","25,998.55","26,309.05","25,952.95","3.11B","1.42%"
"18-08-2024","25,905.95","25,699.95","25,972.05","25,604.45","2.79B","1.28%"
"11-08-2024","25,578.50","25,356.20","25,599.45","25,090.35","2.37B","0.60%"
"04-08-2024","25,425.40","25,291.05","25,477.90","24,871.55","4.11B","-1.34%"
"28-07-2024","25,771.90","25,966.10","26,145.60","25,743.80","4.62B","-0.27%"
"21-07-2024","25,841.90","25,357.25","25,863.30","24,895.55","4.17B","1.54%"
"14-07-2024","25,450.85","25,674.90","25,821.10","25,428.30","3.23B","-0.49%"
"07-07-2024","25,577.30","25,414.50","25,677.70","25,165.00","4.19B","0.73%"
"30-06-2024","25,391.25","25,004.00","25,433.40","24,996.65","3.51B","1.54%"
"23-06-2024","25,007.25","24,443.75","25,165.80","24,382.15","3.94B","1.84%"
"16-06-2024","24,555.50","24,689.75","24,763.60","24,480.30","3.32B","-0.07%"
"09-06-2024","24,571.65","24,328.95","24,592.90","24,222.35","3.71B","1.26%"
"02-06-2024","24,266.05","24,444.70","24,445.20","22,003.75","8.37B","3.18%"
"26-05-2024","23,518.05","24,075.00","24,106.85","23,393.30","4.58B","-1.93%"
"19-05-2024","23,980.10","23,450.95","24,060.75","23,449.75","3.53B","2.29%"
