"Date","Price","Open","High","Low","Vol.","Change %"
"29-12-2024","78,699.07","78,488.64","79,043.15","78,173.38","29.76M","0.84%"
"22-12-2024","78,041.59","82,000.31","82,116.44","77,874.59","30.25M","-4.98%"
"15-12-2024","82,133.12","81,602.58","82,213.92","80,082.82","37.36M","0.52%"
"08-12-2024","81,709.12","79,743.87","82,317.74","79,308.95","40.29M","2.39%"
"01-12-2024","79,802.79","80,193.47","80,511.15","78,918.92","46.94M","0.87%"
"24-11-2024","79,117.11","77,863.54","79,218.19","76,802.73","41.26M","1.98%"
"17-11-2024","77,580.31","79,298.46","80,102.14","77,424.81","40.78M","-2.40%"
"10-11-2024","79,486.32","79,713.14","80,569.73","78,232.60","56.84M","-0.30%"
"03-11-2024","79,724.12","79,653.67","80,539.81","79,287.93","37.83M","0.41%"
"27-10-2024","79,402.29","81,770.02","81,770.02","79,137.98","38.12M","-2.24%"
"20-10-2024","81,224.75","81,576.93","82,300.44","80,409.25","34.90M","-0.19%"
"13-10-2024","81,381.36","81,926.99","82,319.21","80,726.06","48.63M","-0.38%"
"06-10-2024","81,688.45","85,208.76","85,359.65","81,532.68","55.96M","-4.54%"
"29-09-2024","85,571.85","84,651.15","85,978.25","84,607.38","51.87M","1.22%"
"22-09-2024","84,544.31","82,985.33","84,694.46","82,700.63","57.12M","1.99%"
"15-09-2024","82,890.94","80,973.75","83,116.19","80,895.05","42.31M","2.10%"
"08-09-2024","81,183.93","82,725.28","82,725.28","80,981.93","44.38M","-1.43%"
"01-09-2024","82,365.77","81,388.26","82,637.03","81,278.44","45.73M","1.58%"
"25-08-2024","81,086.21","80,680.25","81,236.45","80,332.65","38.90M","0.81%"
"18-08-2024","80,436.84","79,330.12","80,518.21","78,889.38","41.67M","0.92%"
"11-08-2024","79,705.91","78,588.19","79,984.24","78,295.86","60.24M","-1.58%"
"04-08-2024","80,981.95","81,679.65","82,129.49","80,868.91","71.12M","-0.43%"
"28-07-2024","81,332.72","80,408.90","81,427.18","79,224.32","62.41M","0.90%"
"21-07-2024","80,604.65","80,686.54","81,587.76","80,390.37","50.30M","0.11%"
"14-07-2024","80,519.34","79,915.00","80,893.51","79,435.76","56.23M","0.65%"
"07-07-2024","79,996.60","79,043.35","80,392.64","78,971.79","55.74M","1.22%"
"30-06-2024","79,032.73","76,885.65","79,671.58","76,745.94","58.15M","2.36%"
"23-06-2024","77,209.90","77,235.31","77,851.63","76,802.00","50.47M","0.28%"
"16-06-2024","76,992.77","76,935.41","77,145.46","76,296.44","53.52M","0.39%"
"09-06-2024","76,693.36","76,583.29","76,795.31","70,234.43","117.93M","3.69%"
"02-06-2024","73,961.31","75,655.46","76,009.68","73,668.73","56.34M","-1.92%"
