"Date","Price","Open","High","Low","Vol.","Change %"
"08-06-2025","18,374.80","18,715.35","18,985.65","18,074.30","526.28B","-1.12%"
"01-06-2025","18,582.45","17,890.70","18,612.05","17,790.45","935.64B","3.91%"
"25-05-2025","17,883.30","17,698.80","17,976.85","17,669.80","777.60B","1.36%"
"18-05-2025","17,643.35","17,666.55","17,818.20","17,395.55","795.42B","0.47%"
"11-05-2025","17,560.40","16,613.80","17,575.30","16,569.20","795.03B","9.17%"
"04-05-2025","16,085.65","16,500.35","16,699.20","15,765.35","523.81B","-2.17%"
"27-04-2025","16,441.80","16,470.25","16,900.20","16,351.00","508.22B","-0.64%"
"20-04-2025","16,547.20","16,497.35","17,065.35","16,319.60","631.81B","0.83%"
"13-04-2025","16,410.20","15,932.45","16,455.80","15,876.05","329.93B","4.55%"
"06-04-2025","15,696.10","14,086.90","15,711.95","14,084.30","376.44B","0.13%"
"30-03-2025","15,675.95","16,062.65","16,287.10","15,559.05","388.32B","-2.61%"
"23-03-2025","16,095.70","16,306.20","16,519.75","15,819.45","631.29B","-0.55%"
"16-03-2025","16,184.95","14,940.00","16,203.40","14,888.60","732.69B","8.64%"
"09-03-2025","14,897.35","15,525.45","15,663.90","14,869.10","392.12B","-3.91%"
"02-03-2025","15,504.30","14,740.90","15,614.15","14,299.80","610.49B","5.47%"
"23-02-2025","14,700.20","15,502.70","15,606.05","14,617.65","416.84B","-5.99%"
"16-02-2025","15,636.90","15,291.95","15,982.05","14,976.30","524.19B","1.49%"
"09-02-2025","15,407.20","16,998.20","17,051.15","15,254.10","519.63B","-9.41%"
"02-02-2025","17,006.85","16,959.70","17,190.60","16,544.75","498.43B","0.57%"
"26-01-2025","16,910.50","16,768.60","16,922.80","15,684.60","725.81B","-0.27%"
"19-01-2025","16,956.05","17,731.10","17,941.25","16,906.65","613.10B","-4.05%"
"12-01-2025","17,672.05","17,407.70","17,704.00","16,808.70","582.22B","0.15%"
"05-01-2025","17,645.55","19,096.80","19,114.30","17,628.95","716.42B","-7.29%"
"29-12-2024","19,033.70","18,762.35","19,224.95","18,472.75","630.62B","1.48%"
"22-12-2024","18,755.85","18,822.50","18,871.45","18,546.45","453.31B","0.22%"
"15-12-2024","18,714.30","19,435.60","19,598.35","18,672.60","565.66B","-3.57%"
"08-12-2024","19,407.30","19,521.55","19,716.20","19,047.85","567.00M","-0.44%"
"01-12-2024","19,492.10","18,666.80","19,514.90","18,593.75","712.87B","4.51%"
"24-11-2024","18,650.95","18,055.10","18,712.35","18,041.20","570.26B","5.04%"
"17-11-2024","17,755.55","17,641.65","17,893.05","17,367.45","395.05B","0.88%"
"10-11-2024","17,601.05","18,382.60","18,416.45","17,431.50","463.72B","-4.58%"
"03-11-2024","18,445.60","18,773.15","19,031.90","18,248.60","603.46B","-1.86%"
"27-10-2024","18,794.90","17,912.30","18,862.25","17,734.15","470.42B","5.31%"
"20-10-2024","17,847.90","19,166.90","19,181.50","17,670.90","751.59B","-6.45%"
"13-10-2024","19,077.80","19,074.25","19,391.90","18,645.40","748.91B","0.36%"
"06-10-2024","19,008.80","18,840.60","19,064.10","18,097.45","510.77B","1.33%"
"29-09-2024","18,758.65","19,249.90","19,349.50","18,566.60","491.07B","-2.51%"
"22-09-2024","19,242.00","19,480.00","19,615.25","19,210.90","691.50B","-0.47%"
"15-09-2024","19,332.15","19,604.85","19,632.85","18,885.75","684.87B","-0.89%"
"08-09-2024","19,505.95","19,237.90","19,526.35","18,897.30","536.09B","1.19%"
"01-09-2024","19,276.05","19,395.50","19,640.60","19,114.15","604.89B","-0.16%"
"25-08-2024","19,307.10","19,219.75","19,440.05","19,110.70","854.88B","1.19%"
"18-08-2024","19,079.25","18,577.20","19,224.70","18,558.10","747.34B","3.48%"
"11-08-2024","18,436.85","18,388.95","18,543.10","17,972.80","531.64B","0.14%"
"04-08-2024","18,410.20","18,276.25","18,544.95","17,837.15","672.35B","-2.08%"
"28-07-2024","18,800.60","18,988.10","19,251.65","18,630.50","763.85B","-0.28%"
"21-07-2024","18,854.00","18,265.55","18,879.00","17,559.65","779.00B","2.48%"
"14-07-2024","18,397.75","19,045.10","19,180.10","18,367.50","643.54B","-2.91%"
"07-07-2024","18,949.05","19,036.65","19,107.45","18,414.70","958.04B","0.04%"
"30-06-2024","18,941.20","18,400.05","18,993.60","18,373.40","981.91B","3.40%"
"23-06-2024","18,317.70","18,174.25","18,437.65","18,008.90","836.41B","0.45%"
"16-06-2024","18,235.05","18,149.90","18,400.25","17,967.80","714.51B","1.06%"
"09-06-2024","18,043.60","17,362.30","18,089.15","17,277.75","819.53B","4.81%"
"02-06-2024","17,215.55","17,420.55","17,424.15","14,966.00","832.90B","3.11%"
"26-05-2024","16,696.70","17,000.55","17,116.65","16,520.85","705.22B","-1.10%"
"19-05-2024","16,883.00","16,945.95","17,042.65","16,730.90","595.94B","0.07%"
"12-05-2024","16,870.80","16,132.00","16,886.55","15,717.10","533.83B","4.74%"
"05-05-2024","16,106.75","17,057.65","17,063.75","15,782.60","494.70B","-4.90%"
"28-04-2024","16,936.50","17,098.60","17,135.15","16,817.40","471.81B","-0.26%"
"21-04-2024","16,981.30","16,379.45","17,051.55","16,369.85","754.80B","4.37%"
"14-04-2024","16,270.40","16,131.55","16,543.55","15,911.85","478.59B","-1.37%"
"07-04-2024","16,496.40","16,466.80","16,653.30","16,357.45","534.28B","0.86%"
"31-03-2024","16,355.35","15,418.25","16,375.55","15,414.55","445.00M","7.10%"
"24-03-2024","15,270.45","15,064.55","15,397.15","14,940.75","318.35B","1.42%"
"17-03-2024","15,056.75","14,858.10","15,092.95","14,396.80","369.87B","1.41%"
"10-03-2024","14,846.70","15,777.05","15,783.60","14,085.35","523.90B","-5.49%"
"03-03-2024","15,709.00","16,116.70","16,228.05","15,357.20","372.30B","-2.18%"
"25-02-2024","16,058.95","16,221.00","16,260.00","15,642.30","451.51B","-0.72%"
"18-02-2024","16,175.20","16,292.55","16,348.40","15,836.50","526.00M","-0.12%"
"11-02-2024","16,194.00","16,286.75","16,295.95","15,225.85","626.21B","-0.46%"
"04-02-2024","16,269.30","16,376.15","16,691.60","16,007.55","892.57B","-0.05%"
"28-01-2024","16,277.85","15,503.25","16,388.65","15,497.00","868.85B","5.64%"
"21-01-2024","15,409.40","15,553.65","15,665.70","14,910.30","893.00M","-0.50%"
"14-01-2024","15,487.45","15,642.90","15,687.10","14,936.00","593.97B","-0.37%"
"07-01-2024","15,544.65","15,511.65","15,609.70","15,288.30","516.22B","0.69%"
"31-12-2023","15,438.85","15,195.05","15,458.05","15,015.20","436.24B","1.95%"
"24-12-2023","15,143.65","14,904.15","15,165.00","14,821.90","361.06B","2.00%"
"17-12-2023","14,846.05","14,940.55","15,090.25","14,091.45","528.27B","-0.27%"
"10-12-2023","14,885.80","14,470.25","14,913.40","14,465.75","479.19B","3.35%"
"03-12-2023","14,403.95","14,495.85","14,619.50","14,321.55","458.78B","1.16%"
"26-11-2023","14,239.30","13,922.45","14,305.10","13,838.80","371.04B","2.98%"
"19-11-2023","13,827.50","13,933.60","13,989.10","13,656.05","329.87B","-0.39%"
"12-11-2023","13,881.85","13,508.80","13,957.00","13,444.85","330.52B","3.87%"
"05-11-2023","13,365.20","13,092.55","13,401.95","13,068.80","325.75B","3.09%"
"29-10-2023","12,965.05","12,715.15","12,983.85","12,560.45","314.65B","2.58%"
"22-10-2023","12,639.30","12,990.30","13,019.95","12,048.75","310.61B","-2.23%"
"15-10-2023","12,927.40","12,939.45","13,148.30","12,883.70","365.89B","0.26%"
"08-10-2023","12,894.05","12,683.70","12,991.75","12,567.45","336.00B","0.44%"
"01-10-2023","12,837.10","12,763.55","12,849.65","12,577.80","314.48B","0.69%"
"24-09-2023","12,748.50","12,523.70","12,794.80","12,443.75","360.78B","2.18%"
"17-09-2023","12,476.25","12,833.55","12,851.20","12,333.85","299.30B","-2.48%"
"10-09-2023","12,793.75","12,935.50","13,079.20","12,296.85","510.60B","-0.14%"
"03-09-2023","12,812.30","12,468.15","12,843.10","12,386.45","463.22B","3.44%"
"27-08-2023","12,386.45","11,927.75","12,400.05","11,892.40","407.68B","4.36%"
"20-08-2023","11,869.45","11,746.00","12,054.90","11,696.60","275.40B","1.59%"
"13-08-2023","11,683.35","11,727.55","11,811.15","11,516.20","479.00M","-0.55%"
"06-08-2023","11,748.35","11,782.05","11,869.50","11,664.20","292.48B","0.43%"
"30-07-2023","11,698.05","11,651.00","11,805.45","11,496.20","384.85B","0.84%"
"23-07-2023","11,600.30","11,585.70","11,663.30","11,544.55","371.03B","0.61%"
"16-07-2023","11,529.70","11,389.55","11,542.65","11,262.70","357.18B","1.82%"
"09-07-2023","11,323.90","11,165.10","11,355.30","11,042.50","305.71B","1.85%"
"02-07-2023","11,118.60","10,909.55","11,216.00","10,909.25","298.75B","2.60%"
"25-06-2023","10,837.10","10,635.60","10,851.25","10,592.20","173.41B","2.00%"
"18-06-2023","10,624.10","10,793.45","10,908.95","10,582.65","238.46B","-1.08%"
"11-06-2023","10,740.50","10,488.95","10,783.95","10,452.65","255.71B","2.85%"
"04-06-2023","10,442.85","10,379.45","10,587.45","10,338.00","230.13B","1.17%"
"28-05-2023","10,321.60","10,052.60","10,365.45","10,014.35","259.07B","3.10%"
"21-05-2023","10,010.80","9,863.90","10,024.20","9,820.10","185.51B","1.20%"
"14-05-2023","9,891.70","9,829.05","10,009.15","9,765.30","235.69B","0.86%"
"07-05-2023","9,807.35","9,780.05","9,919.45","9,746.90","201.38B","0.80%"
"30-04-2023","9,729.75","9,719.85","9,833.10","9,709.90","208.27B","0.59%"
"23-04-2023","9,672.55","9,392.25","9,683.80","9,362.00","263.96B","3.24%"
"16-04-2023","9,369.40","9,327.05","9,444.70","9,286.80","167.57B","0.34%"
"09-04-2023","9,337.30","9,235.70","9,358.05","9,188.40","125.25B","1.51%"
"02-04-2023","9,198.35","9,044.95","9,210.05","9,026.65","110.01B","2.26%"
"26-03-2023","8,994.75","8,928.55","9,023.35","8,682.00","132.74B","0.79%"
"19-03-2023","8,923.90","9,052.85","9,148.70","8,903.55","140.55B","-1.88%"
"12-03-2023","9,094.60","9,308.70","9,333.10","8,925.15","149.86B","-2.49%"
"05-03-2023","9,326.95","9,392.15","9,511.45","9,282.15","116.32B","-0.11%"
"26-02-2023","9,337.35","9,215.20","9,366.10","9,053.20","135.60B","1.25%"
"19-02-2023","9,221.80","9,444.55","9,455.75","9,158.35","139.80B","-2.08%"
"12-02-2023","9,417.55","9,535.10","9,538.00","9,315.45","145.02B","-1.14%"
"05-02-2023","9,526.40","9,436.05","9,549.90","9,371.60","132.42B","1.18%"
"29-01-2023","9,415.55","9,242.95","9,651.65","9,185.95","179.35B","1.87%"
"22-01-2023","9,242.70","9,603.75","9,611.80","9,155.25","122.43B","-3.41%"
"15-01-2023","9,569.10","9,705.45","9,739.35","9,555.55","148.64B","-1.10%"
"08-01-2023","9,675.70","9,720.35","9,765.35","9,596.85","149.12B","0.20%"
"01-01-2023","9,656.05","9,756.05","9,854.70","9,616.30","186.83B","-0.77%"
"25-12-2022","9,731.30","9,176.20","9,792.80","9,103.00","230.35B","5.98%"
"18-12-2022","9,182.55","10,067.10","10,097.10","9,159.15","275.36B","-8.33%"
"11-12-2022","10,017.45","9,975.90","10,178.85","9,895.75","330.31B","0.48%"
"04-12-2022","9,969.60","10,119.70","10,153.70","9,900.55","222.66B","-1.09%"
"27-11-2022","10,079.95","9,853.50","10,089.05","9,847.40","224.41B","2.34%"
"20-11-2022","9,849.70","9,628.40","9,864.30","9,591.05","203.90B","2.46%"
"13-11-2022","9,613.60","9,732.75","9,796.75","9,570.70","195.77B","-0.95%"
"06-11-2022","9,705.35","9,807.55","9,865.80","9,617.85","168.47B","-0.52%"
"30-10-2022","9,755.70","9,710.00","9,778.30","9,656.20","180.13B","0.85%"
"23-10-2022","9,673.05","9,770.60","9,801.75","9,662.60","133.27B","0.20%"
"16-10-2022","9,653.50","9,499.35","9,731.65","9,428.10","190.01B","1.42%"
"09-10-2022","9,518.45","9,596.65","9,702.30","9,425.60","167.40B","-1.73%"
"02-10-2022","9,686.10","9,438.80","9,702.30","9,318.40","143.34B","2.59%"
"25-09-2022","9,441.80","9,506.25","9,508.15","9,171.65","182.57B","-1.54%"
"18-09-2022","9,589.45","9,834.80","9,890.65","9,577.60","220.12B","-2.32%"
"11-09-2022","9,817.00","10,012.15","10,180.55","9,746.60","284.90B","-1.20%"
"04-09-2022","9,936.35","9,659.55","10,011.95","9,646.30","229.56B","3.32%"
"28-08-2022","9,617.05","9,303.75","9,711.10","9,303.40","152.64B","0.21%"
"21-08-2022","9,596.70","9,433.60","9,625.20","9,231.75","228.16B","1.47%"
"14-08-2022","9,457.80","9,478.90","9,630.75","9,437.30","164.06B","0.38%"
"07-08-2022","9,421.60","9,329.85","9,458.10","9,276.50","177.89B","1.11%"
"31-07-2022","9,318.00","9,230.50","9,453.90","9,173.15","232.88B","1.60%"
"24-07-2022","9,171.20","9,125.50","9,184.35","8,889.85","194.59B","0.47%"
"17-07-2022","9,128.75","8,788.10","9,153.20","8,787.00","176.13B","4.64%"
"10-07-2022","8,724.35","8,713.05","8,855.75","8,646.50","125.89B","-0.07%"
"03-07-2022","8,730.10","8,495.35","8,782.50","8,451.25","130.82B","2.98%"
"26-06-2022","8,477.55","8,509.60","8,584.45","8,348.30","137.21B","1.04%"
"19-06-2022","8,390.65","8,259.75","8,400.85","7,904.90","147.97B","1.75%"
"12-06-2022","8,246.50","8,770.45","8,775.00","8,149.50","169.85B","-7.91%"
"05-06-2022","8,955.20","9,193.10","9,204.00","8,934.95","133.88B","-2.77%"
"29-05-2022","9,210.25","8,944.35","9,408.00","8,925.10","207.93B","4.38%"
"22-05-2022","8,824.05","9,172.90","9,192.35","8,429.95","159.08B","-3.42%"
"15-05-2022","9,136.10","8,864.15","9,305.70","8,734.85","187.38B","3.86%"
"08-05-2022","8,796.65","9,495.60","9,505.20","8,625.45","233.83B","-7.98%"
"01-05-2022","9,559.15","10,162.75","10,206.20","9,482.20","156.47B","-6.80%"
"24-04-2022","10,256.95","10,446.55","10,458.75","10,224.35","216.64B","-2.66%"
"17-04-2022","10,537.20","10,679.15","10,730.70","10,324.55","253.21B","-1.87%"
"10-04-2022","10,738.00","10,929.90","10,989.55","10,615.45","175.82B","-1.46%"
