Index,Year,Strategy,Total_Invested,Total_Units,Current_Value,Absolute_Return,Return_Percentage,Number_of_Investments
NIFTY 50,2000,Regular Monthly,120000.0,83.74217040209057,135101.2435096927,15101.243509692693,12.584369591410576,12
NIFTY 50,2000,Dip Buying,120000.0,88.84028101944092,143326.02536866404,23326.025368664035,19.438354473886697,10
NIFTY 50,2001,Regular Monthly,120000.0,107.02137507893532,172657.58441484635,52657.58441484635,43.88132034570529,12
NIFTY 50,2001,Dip Buying,120000.0,110.33058140485787,177996.3269804572,57996.326980457205,48.33027248371434,12
NIFTY 50,2002,Regular Monthly,120000.0,113.7084497161028,183445.84192698865,63445.84192698865,52.87153493915721,12
NIFTY 50,2002,Dip Buying,120000.0,113.229457094392,182673.0831303826,62673.08313038261,52.22756927531884,5
NIFTY 50,2003,Regular Monthly,120000.0,102.10147674834862,164720.31243811082,44720.31243811082,37.26692703175902,12
NIFTY 50,2003,Dip Buying,120000.0,75.67264432036211,122082.67708204019,2082.677082040187,1.7355642350334894,5
NIFTY 50,2004,Regular Monthly,120000.0,68.07406046104799,109823.88174180873,-10176.118258191273,-8.480098548492727,12
NIFTY 50,2004,Dip Buying,120000.0,63.81015500983875,102944.92307737285,-17055.07692262715,-14.212564102189292,7
NIFTY 50,2005,Regular Monthly,120000.0,53.46726463883786,86258.73804183712,-33741.26195816288,-28.117718298469068,12
NIFTY 50,2005,Dip Buying,120000.0,51.439529890489695,82987.39357232703,-37012.606427672974,-30.843838689727477,8
NIFTY 50,2006,Regular Monthly,120000.0,36.11742364211462,58268.23956182352,-61731.76043817648,-51.4431336984804,12
NIFTY 50,2006,Dip Buying,120000.0,33.76111501623667,54466.806855694624,-65533.193144305376,-54.61099428692114,6
NIFTY 50,2007,Regular Monthly,120000.0,27.16378781470506,43823.33888146367,-76176.66111853633,-63.48055093211361,12
NIFTY 50,2007,Dip Buying,120000.0,23.64439023327587,38145.49476334396,-81854.50523665604,-68.21208769721336,9
NIFTY 50,2008,Regular Monthly,120000.0,28.8003888796846,46463.667379595165,-73536.33262040484,-61.2802771836707,12
NIFTY 50,2008,Dip Buying,120000.0,32.17517706192686,51908.213154006604,-68091.7868459934,-56.7431557049945,12
NIFTY 50,2009,Regular Monthly,120000.0,31.611324637155448,50998.550037122885,-69001.44996287712,-57.5012083023976,12
NIFTY 50,2009,Dip Buying,120000.0,31.545381140116255,50892.163393349554,-69107.83660665044,-57.58986383887537,9
NIFTY 50,2010,Regular Monthly,120000.0,22.208815288318604,35829.4817046444,-84170.5182953556,-70.14209857946301,12
NIFTY 50,2010,Dip Buying,120000.0,21.60175048859788,34850.104063254956,-85149.89593674504,-70.9582466139542,7
NIFTY 50,2011,Regular Monthly,120000.0,22.498764404777166,36297.256614227,-83702.743385773,-69.75228615481083,12
NIFTY 50,2011,Dip Buying,120000.0,23.643147777793068,38143.490309913555,-81856.50969008644,-68.21375807507204,12
NIFTY 50,2012,Regular Monthly,120000.0,22.562576325070978,36400.204385237004,-83599.79561476299,-69.66649634563582,12
NIFTY 50,2012,Dip Buying,120000.0,20.312968831382967,32770.91261567014,-87229.08738432986,-72.69090615360821,2
NIFTY 50,2013,Regular Monthly,120000.0,20.29368977034863,32739.809706503445,-87260.19029349656,-72.71682524458046,12
NIFTY 50,2013,Dip Buying,120000.0,19.69202219006787,31769.139399236494,-88230.86060076351,-73.52571716730293,4
NIFTY 50,2014,Regular Monthly,120000.0,16.63744591539697,26841.191495309933,-93158.80850469007,-77.63234042057505,12
NIFTY 50,2014,Dip Buying,120000.0,14.46770678771375,23340.751360618593,-96659.2486393814,-80.54937386615117,3
NIFTY 50,2015,Regular Monthly,120000.0,14.53259285523522,23445.43205335098,-96554.56794664901,-80.46213995554085,12
NIFTY 50,2015,Dip Buying,120000.0,14.939217864463227,24101.440180738526,-95898.55981926147,-79.91546651605123,6
NIFTY 50,2016,Regular Monthly,120000.0,14.968095648074089,24148.028709037928,-95851.97129096207,-79.87664274246839,12
NIFTY 50,2016,Dip Buying,120000.0,14.96430254965679,24141.9093033613,-95858.0906966387,-79.88174224719891,3
NIFTY 50,2017,Regular Monthly,120000.0,12.670583324992487,20441.45207821038,-99558.54792178962,-82.96545660149135,12
NIFTY 50,2017,Dip Buying,120000.0,11.447582455457129,18468.384775388986,-101531.61522461101,-84.60967935384251,2
NIFTY 50,2018,Regular Monthly,120000.0,11.19331648113574,18058.17747901629,-101941.82252098371,-84.95151876748642,12
NIFTY 50,2018,Dip Buying,120000.0,11.1887087754912,18050.743867499954,-101949.25613250004,-84.95771344375004,3
NIFTY 50,2019,Regular Monthly,120000.0,10.576619929835529,17063.260932803656,-102936.73906719635,-85.78061588933029,12
NIFTY 50,2019,Dip Buying,120000.0,9.883352009215743,15944.811796467759,-104055.18820353225,-86.71265683627686,2
NIFTY 50,2020,Regular Monthly,120000.0,10.82089949678949,17457.357158170485,-102542.64284182951,-85.45220236819125,12
NIFTY 50,2020,Dip Buying,120000.0,10.543632734029153,17010.04268980923,-102989.95731019077,-85.82496442515898,7
NIFTY 50,2021,Regular Monthly,120000.0,7.514614740522083,12123.327960884275,-107876.67203911573,-89.89722669926311,12
NIFTY 50,2021,Dip Buying,120000.0,7.20764396976645,11628.092016424214,-108371.90798357579,-90.30992331964649,5
NIFTY 50,2022,Regular Monthly,120000.0,6.932528796958964,11184.248708133897,-108815.75129186611,-90.67979274322175,12
NIFTY 50,2022,Dip Buying,120000.0,6.931035550234657,11181.83965319357,-108818.16034680643,-90.68180028900535,6
NIFTY 50,2023,Regular Monthly,120000.0,6.384174334351605,10299.588453609444,-109700.41154639056,-91.41700962199214,12
NIFTY 50,2023,Dip Buying,0.0,0.0,0.0,0.0,0.0,0
NIFTY 50,2024,Regular Monthly,120000.0,5.128020795039478,8273.035948637189,-111726.96405136281,-93.10580337613568,12
NIFTY 50,2024,Dip Buying,120000.0,4.989562078541733,8049.6605013113785,-111950.33949868863,-93.29194958224052,3
NIFTY 50,2025,Regular Monthly,60000.0,2.5491618615756964,4112.562831280071,-55887.43716871993,-93.14572861453321,6
NIFTY 50,2025,Dip Buying,0.0,0.0,0.0,0.0,0.0,0
SENSEX,1990,Regular Monthly,120000.0,132.72951156077488,103574.14705133508,-16425.85294866492,-13.6882107905541,12
SENSEX,1990,Dip Buying,120000.0,125.66191643224604,98059.01986873888,-21940.980131261123,-18.28415010938427,10
SENSEX,1991,Regular Monthly,120000.0,85.94065257338065,67062.92882911186,-52937.07117088814,-44.11422597574012,12
